cell,err_only,"C: (is_neg1, err)","S2: (sat, is_neg1, err)","lognorm_err: (Σlog², err)","lognorm_neg1_err: (Σlog², is_neg1, err)",oracle_best
mass_spring_damper_1_1em6,3.37363e-08,3.37363e-08,3.37363e-08,0.000673781,0.000673781,3.37363e-08
quadrotor_2_1em4,0.00122056,0.00120221,0.00120221,0.125077,0.125077,0.000617401
boost_converter_3_1em4,0.00481957,0.000168365,0.000168365,0.684395,0.684395,0.000168365
aircraft_pitch_0_1em6,0.000838441,0.000838441,0.000241595,0.000145716,0.000145716,6.39381e-05
daisy_mamil4_0_1em6,0.554561,0.554561,0.554561,0.0728014,0.0728014,0.000439112
harmonic_oscillator_9_1em2,6.19789e-05,0.000155902,0.000155902,0.105001,0.105001,6.19789e-05
cstr_7_1em4,0.417945,0.417945,6.67446,2.39482,2.39482,0.381744
fitzhugh_nagumo_0_1em4,0.0905243,0.0041094,0.0041094,0.790017,0.790017,0.0041094
dc_motor_3_1em6,4.0839e-05,5.62668e-05,5.62668e-05,0.00496044,0.00496044,1.81198e-05
lotka_volterra_7_1em8,4.31067e-09,4.31067e-09,4.31067e-09,0.0031264,0.0031264,4.31067e-09
bicycle_model_2_1em8,2.96093e-07,2.96093e-07,2.96093e-07,0.325353,0.325353,2.96093e-07
mass_spring_damper_7_1em4,1.56659e-05,1.56659e-05,1.56659e-05,0.00103805,0.00103805,1.56659e-05
quadrotor_4_0,3.96128e-12,9.96704e-05,9.96704e-05,0.110672,0.110672,3.96128e-12
bicycle_model_9_0,1.05749e-13,1.05749e-13,1.05749e-13,1.09761,1.09761,1.05749e-13
repressilator_5_1em2,0.0371076,0.0139191,0.0139191,1.65413,1.65413,0.0139191
biohydrogenation_6_0,7.27528e-09,7.27528e-09,7.27528e-09,0.00202239,0.00202239,2.13965e-10
cstr_6_1em4,6.91461,6.91461,6.91461,1.47179,1.47179,0.22243
repressilator_5_1em6,1.45792e-06,1.45792e-06,1.45792e-06,0.015367,0.015367,1.45792e-06
slow_fast_8_1em8,6.44437e-07,6.44437e-07,6.44437e-07,0.000921589,0.000921589,6.44437e-07
sirt_treatment_2_1em2,0.259116,0.259116,0.259116,0.259116,0.259116,0.259116
aircraft_pitch_0_0,3.36432e-09,0.000113684,8.70357e-09,0.000401304,0.000401304,4.32907e-10
sirt_treatment_5_1em2,0.776285,0.776285,0.776285,0.286619,0.286619,0.143785
harmonic_oscillator_5_1em8,2.94906e-11,2.94906e-11,2.94906e-11,2.94906e-11,2.94906e-11,2.94906e-11
harmonic_oscillator_0_1em2,6.86108e-05,4.30565e-05,4.30565e-05,0.00438427,0.00438427,4.30565e-05
quadrotor_2_1em8,1.73623e-07,4.76379e-05,4.76379e-05,0.00906587,0.00906587,1.73623e-07
daisy_mamil3_9_0,1.51373e-09,1.51373e-09,1.51373e-09,0.110732,0.110732,1.51373e-09
boost_converter_4_1em4,0.000409955,0.000245178,0.000245178,0.462117,0.462117,0.000245178
crauste_4_1em6,9.24409,0.00178149,0.00178149,0.00178149,0.00178149,0.00178149
aircraft_pitch_6_0,1.177e-08,6.88505e-05,6.88505e-05,0.139657,0.139657,1.177e-08
mass_spring_damper_7_1em2,0.00171875,0.00171875,0.00171875,0.267955,0.267955,0.00111449
quadrotor_3_1em8,1.53085e-06,8.86841e-05,8.86841e-05,0.22516,0.22516,1.53085e-06
aircraft_pitch_1_1em2,0.0529072,0.0118365,0.0118117,0.011794,0.011794,0.011769
daisy_mamil4_9_1em8,4.17113e-07,4.17113e-07,4.17113e-07,0.0783948,0.0783948,4.17113e-07
aircraft_pitch_5_1em8,0.0123343,0.0123343,0.0123343,0.737638,0.737638,0.000336703
aircraft_pitch_0_1em8,1.38323e-06,0.000159902,0.000159902,0.00309441,0.00309441,1.38323e-06
slow_fast_9_1em2,0.273421,0.273421,0.273421,2.55616,2.55616,0.0672014
brusselator_0_1em4,0.000318402,0.000276647,0.000276647,0.266684,0.266684,0.000276647
daisy_mamil4_0_0,0.555,0.555,0.555,0.0773505,0.0773505,1.4866e-10
brusselator_9_0,6.78957e-13,6.78957e-13,6.78957e-13,0.980204,0.980204,6.78957e-13
daisy_mamil4_3_1em4,0.65344,0.590773,0.590773,0.235549,0.235549,0.0475107
forced_lotka_volterra_6_1em2,0.475864,0.00263738,0.00263738,0.00221538,0.00221538,0.00221538
flexible_arm_7_0,3.21925e-11,3.21925e-11,3.21925e-11,0.0148559,0.0148559,3.21925e-11
daisy_mamil3_6_1em6,6.91797e-06,6.91797e-06,6.91797e-06,0.0877414,0.0877414,6.91797e-06
brusselator_1_1em4,0.000789721,0.000583964,0.000583964,0.105135,0.105135,0.000583964
seir_7_1em6,0.0106028,0.00888135,0.00888135,0.603908,0.603908,0.00308187
mass_spring_damper_5_1em2,0.00164916,0.00164916,0.00164916,0.39487,0.39487,0.00164916
boost_converter_3_1em6,1.68522e-05,0.000118774,0.000118774,0.267183,0.267183,1.14837e-05
flexible_arm_4_1em8,1.65783e-07,1.65783e-07,1.65783e-07,0.0762471,0.0762471,1.65783e-07
repressilator_8_1em2,0.048627,0.048627,0.048627,1.90801,1.90801,0.048627
fitzhugh_nagumo_7_1em4,0.522509,0.0458281,0.0458281,0.602204,0.602204,0.0458281
crauste_5_1em8,1.00127,1.00127,1.00127,2.05613,2.05613,0.483893
slow_fast_6_0,1.70197e-13,1.70197e-13,1.70197e-13,0.000753416,0.000753416,1.70197e-13
brusselator_7_1em4,0.509892,0.509892,0.509892,0.509892,0.509892,0.379299
flexible_arm_6_1em4,0.0660229,0.00445986,0.00445986,0.118295,0.118295,0.00445986
aircraft_pitch_7_1em6,0.000570983,0.000570983,0.000570983,0.00706541,0.00706541,7.72181e-05
bicycle_model_7_1em2,30.4719,0.0203807,0.0203807,0.0343997,0.0343997,0.0146243
bicycle_model_6_1em6,3.15447e-05,3.15447e-05,3.15447e-05,0.476301,0.476301,1.92747e-05
daisy_mamil4_6_1em4,0.156394,0.0122498,0.0122498,0.105412,0.105412,0.0122498
fitzhugh_nagumo_8_1em6,2.44144e-05,2.44144e-05,2.44144e-05,0.0288536,0.0288536,2.44144e-05
harmonic_oscillator_1_1em2,6.19342e-05,1.54721e-05,1.54721e-05,0.00315666,0.00315666,1.54721e-05
lotka_volterra_3_0,4.31322e-13,4.31322e-13,4.31322e-13,0.0108954,0.0108954,4.31322e-13
seir_0_1em6,0.0412245,2.16093e-05,2.16093e-05,0.221934,0.221934,2.16093e-05
repressilator_1_0,2.16682e-12,2.16682e-12,2.16682e-12,0.00275429,0.00275429,2.16682e-12
lotka_volterra_5_1em2,0.0439823,0.000551168,0.000551168,0.630316,0.630316,0.000551168
vanderpol_3_0,3.35287e-14,3.35287e-14,3.35287e-14,0.52014,0.52014,3.35287e-14
