cell,system,instance,noise,n_rows_06,n_rows_14,ceiling_06,ceiling_14,delta
biohydrogenation_0_1em2,biohydrogenation,0,1em2,1354,100,0.8128086889188939,1.8063527997480728,0.9935441108291789
biohydrogenation_0_1em4,biohydrogenation,0,1em4,1376,100,0.6476786297109665,0.647678592188899,-3.752206745311071e-08
biohydrogenation_0_1em6,biohydrogenation,0,1em6,1748,100,0.002160321905607443,0.0021635790810455857,3.2571754381427453e-06
biohydrogenation_0_1em8,biohydrogenation,0,1em8,2115,100,7.210210397956551e-05,7.229854062029695e-05,1.964366407314344e-07
biohydrogenation_1_0,biohydrogenation,1,0,1586,100,8.465672607371744e-12,2.561489909069792e-10,2.4768331829960744e-10
biohydrogenation_1_1em2,biohydrogenation,1,1em2,1528,100,0.30699,0.8608797225089383,0.5538897225089383
biohydrogenation_1_1em4,biohydrogenation,1,1em4,1874,100,0.22277317244666212,0.3228312556046799,0.10005808315801779
biohydrogenation_1_1em6,biohydrogenation,1,1em6,1566,100,0.007014104554288747,0.007014528670599429,4.241163106821766e-07
biohydrogenation_1_1em8,biohydrogenation,1,1em8,1612,100,0.00010422409185795178,0.00010429062372813158,6.653187017979789e-08
biohydrogenation_2_0,biohydrogenation,2,0,1682,100,8.036225018770438e-10,3.2692539453371694e-08,3.188891695149465e-08
biohydrogenation_2_1em2,biohydrogenation,2,1em2,1021,100,0.7094714918680542,1.3411709111964918,0.6316994193284375
biohydrogenation_2_1em4,biohydrogenation,2,1em4,1347,100,0.6768483686103666,0.6768483680608952,-5.494713573028775e-10
biohydrogenation_2_1em6,biohydrogenation,2,1em6,1408,100,0.07942720145112891,0.5953714607444451,0.5159442592933162
biohydrogenation_2_1em8,biohydrogenation,2,1em8,1601,100,0.0008028811867285546,0.0009528672722932674,0.00014998608556471282
biohydrogenation_3_0,biohydrogenation,3,0,1893,100,7.192435536040875e-11,2.747012617376754e-10,2.0277690637726664e-10
biohydrogenation_3_1em2,biohydrogenation,3,1em2,1000,100,0.6842441634974334,1.263374549783383,0.5791303862859496
biohydrogenation_3_1em4,biohydrogenation,3,1em4,973,100,0.4806221981406441,0.4806221986222241,4.815799981017221e-10
biohydrogenation_3_1em6,biohydrogenation,3,1em6,1458,100,0.024587090670179057,0.024589255213280037,2.164543100979799e-06
biohydrogenation_3_1em8,biohydrogenation,3,1em8,1621,100,0.0006488929817538569,0.0006495624671832845,6.694854294275743e-07
biohydrogenation_4_0,biohydrogenation,4,0,2443,100,4.293787547737793e-13,3.0196622979872245e-11,2.9767244225098466e-11
biohydrogenation_4_1em2,biohydrogenation,4,1em2,1533,100,0.48595993076344124,1.1961688655528824,0.7102089347894411
biohydrogenation_4_1em4,biohydrogenation,4,1em4,1367,100,0.043937618143100376,0.04393416184689225,-3.456296208126375e-06
biohydrogenation_4_1em6,biohydrogenation,4,1em6,2370,100,0.0003848118749363305,0.0003847447367845147,-6.713815181580429e-08
biohydrogenation_4_1em8,biohydrogenation,4,1em8,2125,100,4.068329921724789e-06,4.064561296757141e-06,-3.768624967648293e-09
biohydrogenation_5_0,biohydrogenation,5,0,1748,100,5.932465629854278e-11,1.5719272550285268e-09,1.512602598729984e-09
biohydrogenation_5_1em2,biohydrogenation,5,1em2,1146,100,0.7213163012351744,3.207385513697522,2.4860692124623474
biohydrogenation_5_1em4,biohydrogenation,5,1em4,1260,100,0.7182854009952093,0.7182854009957286,5.192513086171857e-13
biohydrogenation_5_1em6,biohydrogenation,5,1em6,1514,100,0.005294838281977965,0.005292183071763157,-2.655210214808079e-06
biohydrogenation_5_1em8,biohydrogenation,5,1em8,1452,100,5.709462582104141e-05,5.697461117526448e-05,-1.2001464577693355e-07
biohydrogenation_6_0,biohydrogenation,6,0,1866,100,2.028478496285402e-10,2.1396462379641434e-10,1.1116774167874155e-11
biohydrogenation_6_1em2,biohydrogenation,6,1em2,1416,100,0.72999,1.5848473415077988,0.8548573415077988
biohydrogenation_6_1em4,biohydrogenation,6,1em4,1231,100,0.6578435935572502,0.7900293250250853,0.13218573146783508
biohydrogenation_6_1em6,biohydrogenation,6,1em6,1997,100,0.5974716836284173,0.7700075362781538,0.17253585264973648
biohydrogenation_6_1em8,biohydrogenation,6,1em8,1331,100,0.007539864638644311,0.007560154949329045,2.029031068473408e-05
biohydrogenation_7_0,biohydrogenation,7,0,2082,100,1.8334223028659835e-12,4.7127401991975404e-07,4.7127218649745117e-07
biohydrogenation_7_1em2,biohydrogenation,7,1em2,1233,100,0.7111241967243863,0.822,0.11087580327561364
biohydrogenation_7_1em4,biohydrogenation,7,1em4,1256,100,0.5039026242632463,0.5039053387924515,2.714529205194438e-06
biohydrogenation_7_1em6,biohydrogenation,7,1em6,1715,100,0.00729549711425348,0.018136333546569405,0.010840836432315926
biohydrogenation_7_1em8,biohydrogenation,7,1em8,2323,100,0.00013508693382668913,0.00013533894918260625,2.5201535591712343e-07
biohydrogenation_8_1em2,biohydrogenation,8,1em2,1547,100,0.4422487418828688,1.177790444108488,0.7355417022256193
biohydrogenation_8_1em4,biohydrogenation,8,1em4,1242,100,0.4613121181916102,0.5122538000055579,0.05094168181394765
biohydrogenation_8_1em6,biohydrogenation,8,1em6,1105,100,0.0009269815465070552,0.0009274380476161914,4.565011091361981e-07
biohydrogenation_8_1em8,biohydrogenation,8,1em8,1060,100,4.440285499984764e-05,4.4614865419956296e-05,2.1201042010865478e-07
biohydrogenation_9_1em2,biohydrogenation,9,1em2,1636,100,0.6702056949937715,0.711,0.04079430500622849
biohydrogenation_9_1em6,biohydrogenation,9,1em6,1734,100,0.0007414727317619496,0.00074153149384526,5.87620833103486e-08
biohydrogenation_9_1em8,biohydrogenation,9,1em8,1971,100,2.258939034394114e-05,2.257007435668701e-05,-1.9315987254131528e-08
boost_converter_0_0,boost_converter,0,0,167,100,4.902721673083477e-09,1.4164024730867197e-08,9.26130305778372e-09
boost_converter_0_1em2,boost_converter,0,1em2,233,100,0.0018062744140624476,0.0019427490234374956,0.00013647460937504796
boost_converter_0_1em4,boost_converter,0,1em4,228,100,8.117675781249556e-05,8.117675781249556e-05,0.0
boost_converter_0_1em6,boost_converter,0,1em6,185,100,3.614842639654281e-05,1.8537112105088127e-05,-1.7611314291454683e-05
boost_converter_0_1em8,boost_converter,0,1em8,174,100,1.5900154959336277e-07,8.915983168433783e-07,7.325967672500155e-07
boost_converter_1_0,boost_converter,1,0,181,100,2.551649330717609e-07,2.7061970717667805e-06,2.4510321386950196e-06
boost_converter_1_1em2,boost_converter,1,1em2,295,100,0.030848571777343792,0.04130461567287702,0.010456043895533229
boost_converter_1_1em4,boost_converter,1,1em4,270,100,0.00011322021484372335,0.00012500000000004174,1.177978515631839e-05
boost_converter_1_1em6,boost_converter,1,1em6,228,100,3.409821515709677e-05,3.409821517841305e-05,2.1316282072803006e-14
boost_converter_1_1em8,boost_converter,1,1em8,184,100,1.454793350008643e-06,1.4547933769870625e-06,2.6978419498391304e-14
boost_converter_2_0,boost_converter,2,0,269,100,3.7098102367849606e-12,2.4573709733743954e-10,2.420272871006546e-10
boost_converter_2_1em2,boost_converter,2,1em2,319,100,0.02369479370117189,0.02906588745117189,0.00537109375
boost_converter_2_1em4,boost_converter,2,1em4,303,100,6.31408691406099e-05,0.00028067016601562855,0.00021752929687501865
boost_converter_2_1em6,boost_converter,2,1em6,321,100,4.306747087734486e-06,5.263522009057997e-05,4.8328473002845485e-05
boost_converter_2_1em8,boost_converter,2,1em8,292,100,2.5875368788730313e-06,2.587536879206098e-06,3.3306690738754696e-16
boost_converter_3_0,boost_converter,3,0,124,84,5.18859399889493e-10,9.221801211545255e-09,8.702941811655762e-09
boost_converter_3_1em2,boost_converter,3,1em2,262,100,0.0067594299316405815,0.010494750976562495,0.003735321044921913
boost_converter_3_1em4,boost_converter,3,1em4,205,100,7.196044921875533e-05,0.00016836547851561967,9.640502929686434e-05
boost_converter_3_1em6,boost_converter,3,1em6,174,100,1.1483747618501461e-05,1.1483747618501461e-05,0.0
boost_converter_3_1em8,boost_converter,3,1em8,137,95,3.220710181883746e-07,2.806792132159508e-06,2.4847211139711334e-06
boost_converter_4_0,boost_converter,4,0,171,100,1.137795035965894e-08,2.3426692252748182e-08,1.2048741893089243e-08
boost_converter_4_1em2,boost_converter,4,1em2,227,100,0.003753448486328137,0.003753448486328137,0.0
boost_converter_4_1em4,boost_converter,4,1em4,224,100,0.00018969726562501066,0.00024517822265623934,5.5480957031228684e-05
boost_converter_4_1em6,boost_converter,4,1em6,178,100,1.4372364541270777e-05,1.1845503013696579e-05,-2.526861527574198e-06
boost_converter_4_1em8,boost_converter,4,1em8,147,100,9.170970716176896e-08,2.2461837985154887e-06,2.1544740913537197e-06
boost_converter_5_0,boost_converter,5,0,152,100,5.1096993303190175e-09,2.413587210647883e-07,2.3624902173446927e-07
boost_converter_5_1em2,boost_converter,5,1em2,229,100,0.005689208984374972,0.007211303710937478,0.0015220947265625062
boost_converter_5_1em4,boost_converter,5,1em4,211,100,6.335449218752842e-05,0.0004592895507812278,0.0003959350585936994
boost_converter_5_1em6,boost_converter,5,1em6,194,100,8.907887660447589e-06,1.3604376786713335e-05,4.696489126265746e-06
boost_converter_5_1em8,boost_converter,5,1em8,183,100,2.8562951784327772e-06,1.088197027088178e-05,8.025675092449003e-06
boost_converter_6_0,boost_converter,6,0,194,100,0.00023452758789060946,0.00023452758789060946,0.0
boost_converter_6_1em2,boost_converter,6,1em2,138,88,0.002761627197265637,0.002761627197265637,0.0
boost_converter_6_1em4,boost_converter,6,1em4,195,100,0.00026885986328123446,0.00026885986328123446,0.0
boost_converter_6_1em6,boost_converter,6,1em6,194,100,0.00024597167968748446,0.00042922973632814054,0.00018325805664065609
boost_converter_6_1em8,boost_converter,6,1em8,195,100,0.000213836669921863,0.0005282592773437345,0.00031442260742187145
boost_converter_7_0,boost_converter,7,0,177,100,1.1546319456101628e-13,6.313838341043265e-13,5.159206395433102e-13
boost_converter_7_1em2,boost_converter,7,1em2,239,100,0.004803741455078114,0.004803741455078114,0.0
boost_converter_7_1em4,boost_converter,7,1em4,222,100,4.299926757811434e-05,4.299926757811434e-05,0.0
boost_converter_7_1em6,boost_converter,7,1em6,256,100,1.4002848675809254e-05,3.2845409555726235e-05,1.884256087991698e-05
boost_converter_7_1em8,boost_converter,7,1em8,227,100,3.3689378855505936e-06,3.368937874337341e-06,-1.1213252548714081e-14
boost_converter_8_0,boost_converter,8,0,158,93,1.9487190161537882e-07,2.6566207800282626e-07,7.079017638744745e-08
boost_converter_8_1em2,boost_converter,8,1em2,246,100,0.021755798339843757,0.02017935981869945,-0.0015764385211443077
boost_converter_8_1em4,boost_converter,8,1em4,227,100,8.081054687503197e-05,0.0001035766601562571,2.276611328122513e-05
boost_converter_8_1em6,boost_converter,8,1em6,176,100,2.1651293251268022e-05,2.1651293268698524e-05,1.7430501486614958e-14
boost_converter_8_1em8,boost_converter,8,1em8,165,100,6.980432347925003e-06,2.6547761631245947e-06,-4.325656184800408e-06
boost_converter_9_0,boost_converter,9,0,126,79,4.684448242187056e-05,4.684448242187056e-05,0.0
boost_converter_9_1em2,boost_converter,9,1em2,268,100,0.021348724365234384,0.024209747314453134,0.00286102294921875
boost_converter_9_1em4,boost_converter,9,1em4,130,84,5.447387695312056e-05,5.447387695312056e-05,0.0
boost_converter_9_1em6,boost_converter,9,1em6,124,80,4.214477539060679e-05,4.214477539060679e-05,0.0
boost_converter_9_1em8,boost_converter,9,1em8,123,78,4.214477539060679e-05,4.214477539060679e-05,0.0
brusselator_0_0,brusselator,0,0,87,89,1.3034018309099338e-13,2.3370194668359545e-13,1.0336176359260207e-13
brusselator_0_1em2,brusselator,0,1em2,264,100,0.013339550684319246,0.060713717100195685,0.04737416641587644
brusselator_0_1em4,brusselator,0,1em4,172,100,0.0002766466674425372,0.0002766466683192803,8.767431225464861e-13
brusselator_0_1em6,brusselator,0,1em6,126,100,7.267171097113945e-07,7.267198630644955e-07,2.7533531010703882e-12
brusselator_0_1em8,brusselator,0,1em8,92,89,3.1308328152235276e-09,3.1308295955767562e-09,-3.219646771412954e-15
brusselator_1_0,brusselator,1,0,91,100,4.535816167106077e-13,1.9092505354478817e-12,1.455668918737274e-12
brusselator_1_1em2,brusselator,1,1em2,290,100,0.013107464514009792,0.01310929984752518,1.8353335153875605e-06
brusselator_1_1em4,brusselator,1,1em4,245,100,0.0005839647718560159,0.0005839640545659552,-7.172900606811083e-10
brusselator_1_1em6,brusselator,1,1em6,146,100,6.1241211147811114e-06,6.1241211147811114e-06,0.0
brusselator_1_1em8,brusselator,1,1em8,98,97,9.892727725890893e-08,9.892724556204158e-08,-3.169686735304822e-14
brusselator_2_0,brusselator,2,0,125,100,4.6407322429331543e-14,1.2202905352864946e-11,1.2156498030435614e-11
brusselator_2_1em2,brusselator,2,1em2,338,100,0.0234747507833879,0.0234747507833879,0.0
brusselator_2_1em4,brusselator,2,1em4,291,100,0.0016936600053534256,0.017336281400835096,0.01564262139548167
brusselator_2_1em6,brusselator,2,1em6,157,100,6.165746717079479e-06,6.165747747921557e-06,1.0308420783644578e-12
brusselator_2_1em8,brusselator,2,1em8,143,100,1.2321455988839602e-07,1.2303180008110814e-07,-1.8275980728788e-10
brusselator_3_0,brusselator,3,0,95,100,2.2437607327674414e-13,5.38902256153051e-13,3.1452618287630685e-13
brusselator_3_1em2,brusselator,3,1em2,297,100,0.020223381445284294,0.1166406382161771,0.0964172567708928
brusselator_3_1em4,brusselator,3,1em4,185,100,0.00032459383665672803,0.00032459358480729783,-2.5184943019951334e-10
brusselator_3_1em6,brusselator,3,1em6,118,100,5.248499126087047e-06,5.2484656865026125e-06,-3.343958443480233e-11
brusselator_3_1em8,brusselator,3,1em8,102,98,5.7223386362714734e-08,5.722339602165505e-08,9.658940314238862e-15
brusselator_4_0,brusselator,4,0,116,100,3.0815905383008158e-12,7.042144645197368e-13,-2.377376073781079e-12
brusselator_4_1em2,brusselator,4,1em2,316,100,0.008222340025266395,0.03667026926842365,0.028447929243157255
brusselator_4_1em4,brusselator,4,1em4,250,100,0.0004122342741688101,0.0011561920318483576,0.0007439577576795475
brusselator_4_1em6,brusselator,4,1em6,158,100,9.92632010143879e-06,9.92632010143879e-06,0.0
brusselator_4_1em8,brusselator,4,1em8,122,100,1.6346196776706456e-07,1.6346008530065959e-07,-1.8824664049788e-12
brusselator_5_0,brusselator,5,0,92,79,0.3955216617564835,9.333000000000002,8.937478338243519
brusselator_5_1em2,brusselator,5,1em2,1,1,0.7800000000002203,0.8031194302967289,0.023119430296508647
brusselator_5_1em8,brusselator,5,1em8,23,18,9.530999999999993,9.530999999999993,0.0
brusselator_6_0,brusselator,6,0,200,100,0.048908940260918854,0.04890894026173298,8.141265439576273e-13
brusselator_6_1em2,brusselator,6,1em2,1,1,0.8080000000168424,9.18092054756729,8.372920547550446
brusselator_6_1em4,brusselator,6,1em4,28,30,9.348999999999993,9.348999999999993,0.0
