 Count  Overhead File                                                                      Line Function
     1         1 @Base/Base_compiler.jl                                                     61 setproperty!
     1         0 @HomotopyContinuation/src/valuation.jl                                    111 update!(val::HomotopyContinuation.Valuation, pred::HomotopyContinuation.Predictor, t::Float64)
     1         1 @Base/array.jl                                                           1024 _setindex!
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               311 lu_ldiv!(x::Vector{ComplexF64}, LU::LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, b::Vector{ComplexF64})
     1         0 @VectorizationBase/src/special/exp.jl                                     295 expm1b_kernel
     1         0 @VectorizationBase/src/base_defs.jl                                       349 muladd
     1         0 @HomotopyContinuation/src/endgame_tracker.jl                              349 step!(endgame_tracker::EndgameTracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @Base/broadcast.jl                                                        315 instantiate
     1         0 @Base/broadcast.jl                                                        561 check_broadcast_axes
     1         0 @Base/broadcast.jl                                                        558 check_broadcast_shape
     1         0 @Base/broadcast.jl                                                        536 _bcsm
     1         0 @Base/range.jl                                                           1145 ==
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               670 inverse_inf_norm_est(lu::LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, d_l::Vector{Float64}, d_r::Vector{Float64}, row_scaling::Nothing, work::Vector{ComplexF64}, rwork::Vector{Float64})
     1         1 @HomotopyContinuation/src/newton_corrector.jl                               ? newton!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x₀::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; μ::Float64, ω::Float64, extended_precision::Bool, accurate_μ::Bool, first_correction::Bool)
     1         0 @HomotopyContinuation/src/tracker.jl                                      899 step!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @HomotopyContinuation/src/tracker.jl                                      782 update_precision!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, μ_low::Float64)
     1         0 @HomotopyContinuation/src/tracker.jl                                      800 use_extended_precision!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}})
     1         0 @HomotopyContinuation/src/newton_corrector.jl                              55 extended_prec_refinement_step!
     1         0 @HomotopyContinuation/src/newton_corrector.jl                              66 extended_prec_refinement_step!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; simple_newton_step::Bool)
     1         0 @HomotopyContinuation/src/tracker.jl                                      890 step!(tracker::Tracker{HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @HomotopyContinuation/src/newton_corrector.jl                              33 is_converged
     1         1 @Base/Base_compiler.jl                                                      ? ==
     1         0 @HomotopyContinuation/src/homotopies/toric_homotopy.jl                    241 taylor_coeffs!(H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, t::Float64)
