sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
13.00000,agp_robust_se_times_rq,E_1,state_derivative,NaN,NaN,1.376187e+43,-4.360551e-206,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
33.44000,agp_robust_se_times_rq,a_0,parameter,1.870000e-01,-1.186907e+01,-1.205607e+01,-2.078382e-100,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,Npop_1,state_derivative,NaN,NaN,1.694300e-51,-4.770459e-105,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,b_0,parameter,4.140000e-01,1.633165e-01,-2.506835e-01,8.669710e-114,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,6.722166e-114,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,nu_0,parameter,2.770000e-01,1.684271e-01,-1.085729e-01,-7.558137e-126,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,Npop_2,state_derivative,NaN,NaN,7.047813e-53,-4.697114e-129,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_0,state_ic,4.180000e-01,5.906023e+26,5.906023e+26,-2.926081e-131,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_1,state_derivative,NaN,NaN,-1.713419e+27,-2.592807e-132,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,S_0,state_ic,6.470000e-01,4.299269e+25,4.299269e+25,-1.855113e-147,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,Npop_3,state_derivative,NaN,NaN,8.471061e-54,-1.541632e-153,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,S_1,state_derivative,NaN,NaN,1.309921e+50,1.400187e-155,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_2,state_derivative,NaN,NaN,-2.155318e+51,-2.552942e-156,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,Npop_4,state_derivative,NaN,NaN,0.000000e+00,-1.686588e-178,NaN,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,S_2,state_derivative,NaN,NaN,3.991126e+74,-5.820136e-180,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,S_3,state_derivative,NaN,NaN,1.216034e+99,3.836806e-180,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_3,state_derivative,NaN,NaN,-6.566919e+75,-8.378969e-181,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_5,state_derivative,NaN,NaN,-6.096246e+124,1.516385e-183,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
