case_id	source_method_key	source_method_label	target_method_key	target_method_label	seed_primary_role	seed_roles	source_seed_benchmark_rmse	source_seed_max_rel_err	source_seed_fit_objective	target_cold_oracle_rmse	target_cold_selected_rmse	transfer_best_rmse	transfer_selected_rmse	transfer_best_fit_objective	transfer_selected_fit_objective	distance_to_target_oracle	distance_to_target_selected	same_target_oracle	same_target_selected	same_target_any	benchmark_improved_vs_seed	fit_improved_vs_seed	status	reason	transfer_runtime_seconds
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	oracle_best	oracle_best,fit_selected,top_fit_1	0.9035451243750342	5.8616406514661845	8.304862598287448	1.6933843508673223	2.4253660328850475	0.9035451243750342	0.9035451243750342	8.304862598287448	8.304862598287448	0.9999951533066346	0.41817233851835633	false	false	false	false	false	ok		2.412263741
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	top_fit_2	top_fit_2	3.3802180381753617	15.750418760469016	136.92545713977245	1.6933843508673223	2.4253660328850475	0.9035449819050299	0.9035449819050299	8.304862598290521	8.304862598290521	0.9999951533059818	0.4181723940921807	false	false	false	true	true	ok		143.392821235
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	top_fit_3	top_fit_3	2.556306927631814	15.750418760469016	137.9471028336716	1.6933843508673223	2.4253660328850475	1.4574497835956415	1.4574497835956415	8.311399931652394	8.311399931652394	0.9999954271481766	0.8892397617261171	false	false	false	true	true	ok		156.148924275
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	oracle_best	oracle_best,fit_selected,top_fit_1	0.9035451243750342	5.8616406514661845	8.304862598287448	0.1531394599359811	0.9035450157662426	0.9035451243750342	0.9035451243750342	8.304862598287448	8.304862598287448	0.9980628754375771	5.1342598403425484e-8	false	true	true	false	false	ok		0.155727725
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_2	top_fit_2	3.3802180381753617	15.750418760469016	136.92545713977245	0.1531394599359811	0.9035450157662426	0.9035448719745952	0.9035448719745952	8.30486259828812	8.30486259828812	0.9980628749757613	6.79743193666573e-8	false	true	true	true	true	ok		8.434797143
hiv_4_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_3	top_fit_3	2.556306927631814	15.750418760469016	137.9471028336716	0.1531394599359811	0.9035450157662426	2.556306927631814	2.5577650145357262	137.9471028336716	75.89139675100712	0.9992060224003524	0.7845122352090189	false	false	false	false	true	ok		7.561214851
crauste_7_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	oracle_best	oracle_best,fit_selected,top_fit_1	3.678009040380705	47.549791638316364	2.120031740326697e7	0.3565602453218376	2.445712379564965	2.4494520868486602	2.4494520868486602	2.0350974781642675e7	2.0350974781642675e7	0.9999955913440272	0.9999978430230807	false	false	false	true	true	ok		6.438370568
crauste_7_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_2	top_fit_2	10.42860039450673	151.4138577674123	1.2702686027701936e9	0.3565602453218376	2.445712379564965	3.5588917817715706	10.42860039450673	1.9908272749075534e9	1.2702686027701936e9	0.9999979757678239	0.9800507037620682	false	false	false	true	false	ok		10.611624072
crauste_7_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_3	top_fit_3	10.365672482640257	150.7957832068781	1.550471244365784e9	0.3565602453218376	2.445712379564965	3.5544469093003674	10.365672482640257	1.9530392447494721e9	1.550471244365784e9	0.9999979757678239	0.9800414864501624	false	false	false	true	false	ok		9.582754606
crauste_7_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best,fit_selected,top_fit_1	3.678009040380705	47.549791638316364	2.120031740326697e7	2.22382879566379	2.385488832727355	2.608977217229949	3.678009040380705	2.282133791754979e7	2.120031740326697e7	0.9999864829425262	0.9999949456585447	false	false	false	true	false	ok		3.29718276
